date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026553372278
2021-01-16,California,State,Total,731.0,100.0,538.0,100.0
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026553372278
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.15932023367
2021-01-16,California,State,Epsilon,384.0,52.53,296.14285714285,55.045140732873
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026553372278
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025516713447
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.735136514417
2021-01-17,California,State,Other,130.0,41.67,239.28571428571,42.740495024241
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.153100280684
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.102066853789
2021-01-17,California,State,Epsilon,178.0,57.05,308.85714285714,55.16713447308
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025516713447
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.051033426895
2021-01-17,California,State,Total,312.0,100.0,559.85714285714,100.0
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Alpha,13.0,1.75,10.42857142857,1.780922176141
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Delta,2.0,0.27,0.85714285714,0.146377165162
2021-01-18,California,State,Total,743.0,100.0,585.57142857142,100.0
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.048792388387
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.048792388387
2021-01-18,California,State,Epsilon,426.0,57.34,331.14285714285,56.55037814101
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Other,302.0,40.65,242.57142857142,41.424737740912
2021-01-19,California,State,Delta,1.0,0.08,0.85714285714,0.126475548061
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,19.0,1.58,11.85714285714,1.74957841484
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.02107925801
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.06323777403
2021-01-19,California,State,Epsilon,664.0,55.38,383.14285714285,56.534569983137
2021-01-19,California,State,Total,1199.0,100.0,677.71428571428,100.0
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Other,514.0,42.87,281.28571428571,41.505059021922
2021-01-20,California,State,Other,78.0,31.71,261.71428571428,41.0210479176
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Gamma,1.0,0.41,0.28571428571,0.044782803403
2021-01-20,California,State,Epsilon,152.0,61.79,362.42857142857,56.806986117331
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.022391401702
2021-01-20,California,State,Total,246.0,100.0,638.0,100.0
2021-01-20,California,State,Alpha,15.0,6.1,12.71428571428,1.992834751455
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Delta,0.0,0.0,0.71428571428,0.111957008509
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Delta,1.0,1.14,0.85714285714,0.154320987654
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Other,17.0,19.32,230.28571428571,41.460905349794
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Epsilon,43.0,48.86,309.28571428571,55.684156378601
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025720164609
2021-01-21,California,State,Alpha,27.0,30.68,14.57142857142,2.623456790123
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Total,88.0,100.0,555.42857142857,100.0
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051440329218
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.029708853238
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.059417706477
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Alpha,7.0,14.89,14.42857142857,3.000594177065
2021-01-22,California,State,Other,12.0,25.53,197.57142857142,41.08734402852
2021-01-22,California,State,Delta,1.0,2.13,0.71428571428,0.148544266191
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Total,47.0,100.0,480.85714285714,100.0
2021-01-22,California,State,Epsilon,27.0,57.45,267.71428571428,55.674390968509
2021-01-23,California,State,Alpha,11.0,45.83,13.57142857142,3.572771718691
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Total,24.0,100.0,379.85714285714,100.0
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.037608123355
2021-01-23,California,State,Delta,0.0,0.0,0.71428571428,0.188040616773
2021-01-23,California,State,Other,4.0,16.67,151.0,39.751786385859
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Epsilon,9.0,37.5,214.14285714285,56.374576908612
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.075216246709
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Total,45.0,100.0,341.71428571428,100.0
2021-01-24,California,State,Epsilon,35.0,77.78,193.71428571428,56.688963210702
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Delta,0.0,0.0,0.71428571428,0.209030100334
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Other,3.0,6.67,132.85714285714,38.879598662207
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041806020067
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.041806020067
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Alpha,7.0,15.56,14.14285714285,4.138795986622
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.057770075101
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.173310225303
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.057770075101
2021-01-25,California,State,Alpha,4.0,4.88,12.85714285714,5.199306759099
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Epsilon,47.0,57.32,139.57142857142,56.441363373772
2021-01-25,California,State,Total,82.0,100.0,247.28571428571,100.0
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Other,31.0,37.8,94.14285714285,38.070479491623
2021-01-26,California,State,Epsilon,344.0,60.14,93.85714285714,59.510869565217
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.090579710145
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Total,572.0,100.0,157.71428571428,100.0
2021-01-26,California,State,Other,219.0,38.29,52.0,32.971014492754
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.246376811594
2021-01-26,California,State,Delta,0.0,0.0,0.28571428571,0.18115942029
2021-01-27,California,State,Total,703.0,100.0,223.0,100.0
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Other,233.0,33.14,74.14285714285,33.247918001281
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,457.0,65.01,137.42857142857,61.627162075593
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Delta,1.0,0.14,0.42857142857,0.192184497117
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Alpha,12.0,1.71,11.0,4.932735426009
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-28,California,State,Other,305.0,35.38,115.28571428571,34.561027837259
2021-01-28,California,State,Alpha,23.0,2.67,10.42857142857,3.126338329764
2021-01-28,California,State,Beta,1.0,0.12,0.14285714285,0.042826552463
2021-01-28,California,State,Delta,2.0,0.23,0.57142857142,0.17130620985
2021-01-28,California,State,Total,862.0,100.0,333.57142857142,100.0
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-28,California,State,Epsilon,529.0,61.37,206.85714285714,62.012847965739
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Gamma,2.0,0.23,0.28571428571,0.085653104925
2021-01-29,California,State,Gamma,2.0,0.97,0.57142857142,0.160320641283
2021-01-29,California,State,Delta,1.0,0.48,0.57142857142,0.160320641283
2021-01-29,California,State,Other,53.0,25.6,121.14285714285,33.987975951904
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Total,207.0,100.0,356.42857142857,100.0
2021-01-29,California,State,Alpha,9.0,4.35,10.71428571428,3.006012024048
2021-01-29,California,State,Epsilon,142.0,68.6,223.28571428571,62.645290581162
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Beta,0.0,0.0,0.14285714285,0.040080160321
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Total,109.0,100.0,368.57142857142,100.0
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Epsilon,79.0,72.48,233.28571428571,63.294573643411
2021-01-30,California,State,Other,28.0,25.69,124.57142857142,33.798449612403
2021-01-30,California,State,Delta,0.0,0.0,0.57142857142,0.15503875969
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Alpha,2.0,1.83,9.42857142857,2.558139534884
2021-01-30,California,State,Beta,0.0,0.0,0.14285714285,0.038759689922
2021-01-30,California,State,Gamma,0.0,0.0,0.57142857142,0.15503875969
2021-01-31,California,State,Total,241.0,100.0,396.57142857142,100.0
2021-01-31,California,State,Alpha,2.0,0.83,8.71428571428,2.197406340058
2021-01-31,California,State,Beta,0.0,0.0,0.14285714285,0.036023054755
2021-01-31,California,State,Gamma,0.0,0.0,0.57142857142,0.14409221902
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Delta,0.0,0.0,0.57142857142,0.14409221902
2021-01-31,California,State,Other,82.0,34.02,135.85714285714,34.257925072046
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Epsilon,157.0,65.15,250.71428571428,63.220461095101
2021-02-01,California,State,Total,780.0,100.0,496.28571428571,100.0
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Beta,0.0,0.0,0.14285714285,0.028785261946
2021-02-01,California,State,Gamma,0.0,0.0,0.57142857142,0.115141047784
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Other,223.0,28.59,163.28571428571,32.901554404145
2021-02-01,California,State,Delta,0.0,0.0,0.57142857142,0.115141047784
2021-02-01,California,State,Alpha,10.0,1.28,9.57142857142,1.928612550374
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Epsilon,547.0,70.13,322.14285714285,64.910765687968
2021-02-02,California,State,Delta,0.0,0.0,0.57142857142,0.095510983763
2021-02-02,California,State,Total,1286.0,100.0,598.28571428571,100.0
2021-02-02,California,State,Gamma,0.0,0.0,0.57142857142,0.095510983763
2021-02-02,California,State,Beta,0.0,0.0,0.14285714285,0.023877745941
2021-02-02,California,State,Alpha,33.0,2.57,13.0,2.172874880611
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Epsilon,964.0,74.96,410.71428571428,68.648519579752
2021-02-02,California,State,Other,289.0,22.47,173.28571428571,28.96370582617
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Epsilon,806.0,74.35,460.57142857142,70.562486320858
2021-02-03,California,State,Alpha,28.0,2.58,15.28571428571,2.341869117969
2021-02-03,California,State,Gamma,0.0,0.0,0.57142857142,0.087546509083
2021-02-03,California,State,Delta,0.0,0.0,0.42857142857,0.065659881812
2021-02-03,California,State,Beta,1.0,0.09,0.28571428571,0.043773254541
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Other,249.0,22.97,175.57142857142,26.898664915736
2021-02-03,California,State,Total,1084.0,100.0,652.71428571428,100.0
2021-02-04,California,State,Alpha,15.0,3.06,14.14285714285,2.358827734096
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-04,California,State,Other,97.0,19.8,145.85714285714,24.326900166786
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.047653085537
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023826542769
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023826542769
2021-02-04,California,State,Total,490.0,100.0,599.57142857142,100.0
2021-02-04,California,State,Epsilon,378.0,77.14,439.0,73.218965928044
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,62.0,25.51,147.14285714285,24.332624616112
2021-02-05,California,State,Alpha,23.0,9.47,16.14285714285,2.669501535554
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023623907394
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Epsilon,158.0,65.02,441.28571428571,72.97424994094
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Total,243.0,100.0,604.71428571428,100.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.022266755734
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Other,94.0,25.61,156.57142857142,24.404364284124
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-06,California,State,Alpha,15.0,4.09,18.0,2.805611222445
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Epsilon,258.0,70.3,466.85714285714,72.767757737698
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Total,367.0,100.0,641.57142857142,100.0
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.022386389075
2021-02-07,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Total,217.0,100.0,638.14285714285,100.0
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Epsilon,168.0,77.42,468.42857142857,73.404969778375
2021-02-07,California,State,Other,45.0,20.74,151.28571428571,23.707186030893
2021-02-07,California,State,Alpha,4.0,1.84,18.28571428571,2.865457801657
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Total,487.0,100.0,596.28571428571,100.0
2021-02-08,California,State,Epsilon,361.0,74.13,441.85714285714,74.101581217058
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023957834212
2021-02-08,California,State,Other,108.0,22.18,134.85714285714,22.616195495927
2021-02-08,California,State,Alpha,18.0,3.7,19.42857142857,3.258265452803
2021-02-08,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-09,California,State,Epsilon,469.0,73.4,371.14285714285,73.660334561951
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Total,639.0,100.0,503.85714285714,100.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.028352707684
2021-02-09,California,State,Alpha,22.0,3.44,17.85714285714,3.544088460448
2021-02-09,California,State,Other,148.0,23.16,114.71428571428,22.767224269918
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Other,160.0,29.25,102.0,23.879598662207
2021-02-10,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Epsilon,366.0,66.91,308.28571428571,72.173913043478
2021-02-10,California,State,Total,547.0,100.0,427.14285714285,100.0
